country,city name,airport code,connection,connection city name,connection country
Afghanistan,Herat,hea,kbl,Kabul,Afghanistan
Afghanistan,Herat,hea,mzr,Mazar-e-Sharif,Afghanistan
Afghanistan,Kabul,kbl,dxb,Dubai,United Arab Emirates
Afghanistan,Kabul,kbl,mzr,Mazar-e-Sharif,Afghanistan
Afghanistan,Kabul,kbl,hea,Herat,Afghanistan
Afghanistan,Kabul,kbl,kdh,Kandahar,Afghanistan
Afghanistan,Kabul,kbl,jed,Jeddah,Saudi Arabia
Afghanistan,Kandahar,kdh,kbl,Kabul,Afghanistan
Afghanistan,Kandahar,kdh,dxb,Dubai,United Arab Emirates
Afghanistan,Mazar-e-Sharif,mzr,kbl,Kabul,Afghanistan
Afghanistan,Mazar-e-Sharif,mzr,isb,Islamabad,Pakistan
Afghanistan,Mazar-e-Sharif,mzr,ist,Istanbul,Turkey
Afghanistan,Mazar-e-Sharif,mzr,hea,Herat,Afghanistan
Albania,Kukës,kfz,bsl,Basel Mulhouse Freiburg,Switzerland
Albania,Tirana,tia,mxp,Milan (Malpensa),Italy
Albania,Tirana,tia,fco,Rome (Fiumicino),Italy
Albania,Tirana,tia,bgy,Milan (Bergamo),Italy
Albania,Tirana,tia,psa,Pisa,Italy
Albania,Tirana,tia,blq,Bologna,Italy
Algeria,Adrar,azr,alg,Algiers,Algeria
Algeria,Adrar,azr,bmw,Bordj Badji Mokhtar,Algeria
Algeria,Adrar,azr,orn,Oran,Algeria
Algeria,Adrar,azr,tmr,Tamanrasset,Algeria
Algeria,Adrar,azr,ogx,Ouargla,Algeria
Algeria,Algiers,alg,cdg,Paris,France
Algeria,Algiers,alg,ory,Paris (Orly),France
Algeria,Algiers,alg,ist,Istanbul,Turkey
Algeria,Algiers,alg,orn,Oran,Algeria
Algeria,Algiers,alg,czl,Constantine,Algeria
Algeria,Annaba,aae,alg,Algiers,Algeria
Algeria,Annaba,aae,mrs,Marseille,France
Algeria,Annaba,aae,cdg,Paris,France
Algeria,Annaba,aae,lys,Lyon,France
Algeria,Annaba,aae,ist,Istanbul,Turkey
Algeria,Batna,blj,alg,Algiers,Algeria
Algeria,Batna,blj,lys,Lyon,France
Algeria,Batna,blj,mrs,Marseille,France
Algeria,Batna,blj,cdg,Paris,France
Algeria,Batna,blj,ory,Paris (Orly),France
Algeria,Béchar,cbh,alg,Algiers,Algeria
Algeria,Béchar,cbh,orn,Oran,Algeria
Algeria,Béchar,cbh,tin,Tindouf,Algeria
Algeria,Béchar,cbh,czl,Constantine,Algeria
Algeria,Béjaïa,bja,ory,Paris (Orly),France
Algeria,Béjaïa,bja,cdg,Paris,France
Algeria,Béjaïa,bja,alg,Algiers,Algeria
Algeria,Béjaïa,bja,mrs,Marseille,France
Algeria,Béjaïa,bja,lys,Lyon,France
Algeria,Biskra,bsk,alg,Algiers,Algeria
Algeria,Biskra,bsk,cdg,Paris,France
Algeria,Biskra,bsk,ory,Paris (Orly),France
Algeria,Biskra,bsk,lys,Lyon,France
Algeria,Bordj Badji Mokhtar,bmw,azr,Adrar,Algeria
Algeria,Bordj Badji Mokhtar,bmw,tmr,Tamanrasset,Algeria
Algeria,Bordj Badji Mokhtar,bmw,alg,Algiers,Algeria
Algeria,Chlef,cfk,mrs,Marseille,France
Algeria,Chlef,cfk,cdg,Paris,France
Algeria,Constantine,czl,alg,Algiers,Algeria
Algeria,Constantine,czl,mrs,Marseille,France
Algeria,Constantine,czl,ist,Istanbul,Turkey
Algeria,Constantine,czl,lys,Lyon,France
Algeria,Constantine,czl,ory,Paris (Orly),France
Algeria,Djanet,djg,alg,Algiers,Algeria
Algeria,Djanet,djg,tmr,Tamanrasset,Algeria
Algeria,Djanet,djg,czl,Constantine,Algeria
Algeria,Djanet,djg,elu,El Oued,Algeria
Algeria,Djanet,djg,vvz,Illizi,Algeria
Algeria,El Bayadh,ebh,alg,Algiers,Algeria
Algeria,El Bayadh,ebh,orn,Oran,Algeria
Algeria,El Golea,elg,alg,Algiers,Algeria
Algeria,El Golea,elg,ogx,Ouargla,Algeria
Algeria,El Golea,elg,tmr,Tamanrasset,Algeria
Algeria,El Oued,elu,alg,Algiers,Algeria
Algeria,El Oued,elu,czl,Constantine,Algeria
Algeria,El Oued,elu,orn,Oran,Algeria
Algeria,El Oued,elu,tmr,Tamanrasset,Algeria
Algeria,El Oued,elu,djg,Djanet,Algeria
Algeria,Ghardaïa,gha,alg,Algiers,Algeria
Algeria,Ghardaïa,gha,czl,Constantine,Algeria
Algeria,Ghardaïa,gha,vvz,Illizi,Algeria
Algeria,Ghardaïa,gha,azr,Adrar,Algeria
Algeria,Ghardaïa,gha,orn,Oran,Algeria
Algeria,Hassi Messaoud,hme,alg,Algiers,Algeria
Algeria,Hassi Messaoud,hme,orn,Oran,Algeria
Algeria,Hassi Messaoud,hme,czl,Constantine,Algeria
Algeria,Hassi Messaoud,hme,azr,Adrar,Algeria
Algeria,Hassi Messaoud,hme,iam,In Amenas,Algeria
Algeria,Illizi,vvz,alg,Algiers,Algeria
Algeria,Illizi,vvz,djg,Djanet,Algeria
Algeria,Illizi,vvz,gha,Ghardaïa,Algeria
Algeria,Illizi,vvz,ogx,Ouargla,Algeria
Algeria,Illizi,vvz,elu,El Oued,Algeria
Algeria,In Amenas,iam,alg,Algiers,Algeria
Algeria,In Amenas,iam,ogx,Ouargla,Algeria
Algeria,In Amenas,iam,orn,Oran,Algeria
Algeria,In Amenas,iam,hme,Hassi Messaoud,Algeria
Algeria,In Guezzam,inf,tmr,Tamanrasset,Algeria
