country,connection country
Afghanistan,Afghanistan
Afghanistan,United Arab Emirates
Afghanistan,Saudi Arabia
Afghanistan,Pakistan
Afghanistan,Turkey
Albania,Switzerland
Albania,Italy
Algeria,Algeria
Algeria,France
Algeria,Turkey
American Samoa,United States
Angola,Angola
Angola,Portugal
Anguilla,Sint Maarten
Anguilla,Puerto Rico
Anguilla,U.S. Virgin Islands
Anguilla,United States
Anguilla,St. Kitts & Nevis
Antigua & Barbuda,British Virgin Islands
Antigua & Barbuda,Barbados
Antigua & Barbuda,Sint Maarten
Antigua & Barbuda,United States
Antigua & Barbuda,United Kingdom
Argentina,Argentina
Argentina,Brazil
Argentina,Chile
Argentina,Spain
Argentina,Peru
Argentina,Panama
Argentina,Falkland Islands (Islas Malvinas)
Armenia,Russia
Armenia,Cyprus
Aruba,Curaçao
Aruba,United States
Aruba,Caribbean Netherlands
Aruba,Colombia
Australia,Australia
Australia,Cocos (Keeling) Islands
Australia,New Zealand
Australia,Indonesia
Austria,Germany
Austria,Austria
Austria,Netherlands
Austria,United Kingdom
Austria,Spain
Austria,Greece
Austria,Egypt
Austria,Turkey
Austria,France
Azerbaijan,Turkey
Azerbaijan,Georgia
Azerbaijan,United Arab Emirates
Azerbaijan,Russia
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahamas,United States
Bahamas,Mexico
Bahamas,Turks & Caicos Islands
Bahamas,Dominican Republic
Bahamas,Canada
Bahrain,United Arab Emirates
Bahrain,Kuwait
Bahrain,Saudi Arabia
Bahrain,Qatar
Bangladesh,Bangladesh
Bangladesh,Oman
Bangladesh,United Arab Emirates
Bangladesh,India
Bangladesh,Malaysia
Bangladesh,United Kingdom
Barbados,St. Lucia
Barbados,St. Vincent & Grenadines
Barbados,Trinidad & Tobago
Barbados,Grenada
Barbados,United States
Belarus,Russia
Belarus,Georgia
Belgium,Spain
Belgium,United Kingdom
Belgium,Turkey
Belgium,Greece
Belgium,Germany
Belgium,Italy
Belgium,Romania
Belgium,France
Belgium,Tunisia
Belize,Belize
Belize,United States
Benin,Côte d’Ivoire
Benin,Gabon
Benin,Togo
Benin,France
Benin,Ethiopia
Bermuda,United States
Bermuda,United Kingdom
Bhutan,Bhutan
Bhutan,Nepal
Bhutan,India
Bhutan,Thailand
Bhutan,Bangladesh
Bolivia,Bolivia
Bolivia,Brazil
Bosnia & Herzegovina,Germany
Bosnia & Herzegovina,Austria
Bosnia & Herzegovina,Belgium
Bosnia & Herzegovina,Sweden
Bosnia & Herzegovina,Italy
Bosnia & Herzegovina,Croatia
Bosnia & Herzegovina,United Arab Emirates
Bosnia & Herzegovina,Turkey
Bosnia & Herzegovina,Switzerland
Botswana,Botswana
Botswana,South Africa
Botswana,Ethiopia
Botswana,Zimbabwe
Brazil,Brazil
Brazil,Argentina
Brazil,Chile
British Virgin Islands,Puerto Rico
British Virgin Islands,U.S. Virgin Islands
British Virgin Islands,Antigua & Barbuda
British Virgin Islands,Sint Maarten
British Virgin Islands,Dominican Republic
Brunei,Malaysia
Brunei,Singapore
Brunei,Philippines
Brunei,Indonesia
Bulgaria,Czechia
Bulgaria,Israel
Bulgaria,United Kingdom
Bulgaria,Poland
Bulgaria,Slovakia
Bulgaria,Germany
Bulgaria,Austria
Bulgaria,Bulgaria
Bulgaria,Turkey
Burkina Faso,Burkina Faso
Burkina Faso,Côte d’Ivoire
Burkina Faso,Niger
Burkina Faso,Togo
Burkina Faso,Mali
Burkina Faso,Turkey
Burundi,Ethiopia
Burundi,Uganda
Burundi,Rwanda
Burundi,Kenya
Burundi,Tanzania
Cambodia,Thailand
Cambodia,Singapore
Cambodia,Malaysia
Cambodia,Vietnam
Cambodia,China
Cambodia,Cambodia
Cameroon,Cameroon
Cameroon,Central African Republic
Cameroon,Equatorial Guinea
Cameroon,Gabon
Cameroon,Togo
Cameroon,Belgium
Cameroon,France
Cameroon,Turkey
Canada,Canada
Canada,Iceland
Canada,United States
Cape Verde,Cape Verde
Cape Verde,United Kingdom
Cape Verde,Portugal
Cape Verde,Senegal
Cape Verde,Netherlands
Cape Verde,France
Caribbean Netherlands,Curaçao
Caribbean Netherlands,Netherlands
